iter	Passed	Remaining
0	1	128
1	2	115
2	3	107
3	4	99
4	5	97
5	6	96
6	7	99
7	8	98
8	9	98
9	10	96
10	11	95
11	12	94
12	13	93
13	14	91
14	15	90
15	16	89
16	17	87
17	18	86
18	19	84
19	20	83
20	22	83
21	23	83
22	24	82
23	25	81
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
