iter	Passed	Remaining
0	159	158874
1	161	80457
2	163	54396
3	165	41311
4	168	33521
5	170	28288
6	173	24618
7	175	21814
8	178	19648
9	180	17896
10	183	16486
11	185	15294
12	188	14283
13	190	13414
14	192	12661
15	194	11991
16	197	11397
17	199	10885
18	201	10416
19	204	10009
20	206	9630
21	209	9303
22	211	9002
23	214	8709
24	216	8445
25	218	8193
26	220	7951
27	222	7724
28	224	7518
29	227	7344
30	229	7167
31	231	6998
32	233	6846
33	236	6705
34	238	6578
35	241	6474
36	245	6381
37	247	6273
38	250	6166
39	254	6108
40	257	6012
41	260	5939
42	264	5885
43	267	5812
44	270	5745
45	273	5664
46	275	5591
47	278	5516
48	281	5454
49	283	5393
50	287	5340
51	289	5280
52	292	5220
53	294	5166
54	297	5110
55	299	5057
56	302	5005
57	304	4953
58	307	4904
59	309	4851
60	312	4802
61	314	4759
62	317	4717
63	319	4671
64	321	4627
65	324	4590
66	326	4552
67	329	4514
68	331	4475
69	334	4439
70	336	4401
71	339	4369
72	341	4341
73	344	4315
74	350	4323
75	354	4312
76	357	4285
77	360	4259
78	363	4235
79	367	4223
80	370	4205
81	374	4196
82	376	4159
83	381	4161
84	401	4322
85	405	4305
86	408	4289
87	413	4280
88	416	4261
89	419	4243
90	422	4220
91	425	4201
92	429	4191
93	433	4177
94	436	4157
95	439	4135
96	442	4122
97	445	4102
98	449	4087
99	451	4067
100	454	4046
101	459	4048
102	464	4041
103	467	4030
104	470	4010
105	473	3997
106	478	3996
107	481	3979
108	484	3959
109	487	3946
110	491	3934
111	495	3930
112	498	3912
113	501	3897
114	505	3887
115	509	3884
116	512	3871
117	518	3878
118	524	3883
119	530	3890
120	534	3883
121	537	3865
122	541	3858
123	549	3884
124	556	3894
125	560	3886
126	563	3870
127	566	3860
128	571	3855
129	574	3845
130	577	3833
131	585	3852
132	589	3843
133	593	3833
134	596	3820
135	599	3808
136	604	3810
137	608	3799
138	611	3788
139	619	3808
140	624	3801
141	626	3786
142	630	3775
143	633	3766
144	636	3754
145	640	3745
146	643	3735
147	647	3728
148	650	3715
149	653	3704
150	656	3690
151	659	3679
152	662	3670
153	666	3659
154	669	3648
155	672	3636
156	677	3637
157	680	3627
158	683	3613
159	685	3600
160	687	3583
161	691	3574
162	694	3565
163	697	3556
164	700	3547
165	704	3540
166	708	3533
167	711	3523
168	714	3511
169	720	3517
170	723	3509
171	727	3502
172	730	3493
173	735	3489
174	738	3481
175	742	3477
176	745	3465
177	748	3458
178	751	3448
179	754	3437
180	757	3425
181	759	3413
182	762	3402
183	765	3394
184	767	3383
185	770	3372
186	773	3360
187	775	3349
188	778	3338
189	780	3329
190	783	3318
191	785	3307
192	788	3297
193	791	3289
194	795	3282
195	797	3271
196	801	3265
197	804	3258
198	807	3249
199	811	3245
200	815	3243
201	818	3234
202	822	3229
203	825	3222
204	829	3217
205	833	3213
206	837	3207
207	840	3200
208	844	3195
209	849	3193
210	852	3186
211	855	3181
212	859	3175
213	862	3169
214	865	3159
215	868	3153
216	871	3146
217	874	3138
218	878	3133
219	881	3125
220	885	3121
221	888	3113
222	891	3105
223	894	3099
224	897	3092
225	900	3085
226	903	3076
227	905	3067
228	909	3062
229	913	3058
230	916	3050
231	919	3043
232	922	3035
233	924	3027
234	928	3021
235	931	3014
236	934	3006
237	937	3001
238	939	2992
239	943	2988
240	947	2983
241	950	2975
242	953	2971
243	956	2963
244	959	2957
245	962	2949
246	964	2941
247	967	2932
248	970	2925
249	973	2919
250	976	2913
251	979	2906
252	981	2898
253	984	2892
254	987	2884
255	990	2877
256	992	2869
257	995	2862
258	997	2854
259	1000	2846
260	1003	2842
261	1006	2835
262	1009	2829
263	1012	2821
264	1014	2814
265	1018	2811
266	1022	2806
267	1024	2798
268	1027	2791
269	1030	2785
270	1034	2782
271	1037	2776
272	1039	2768
273	1042	2762
274	1044	2754
275	1047	2748
276	1050	2741
277	1053	2734
278	1055	2727
279	1057	2720
280	1060	2713
281	1062	2706
282	1065	2699
283	1068	2693
284	1071	2688
285	1075	2684
286	1078	2680
287	1081	2674
288	1084	2667
289	1086	2660
290	1088	2652
291	1091	2646
292	1094	2640
293	1097	2634
294	1099	2627
295	1101	2620
296	1104	2613
297	1106	2607
298	1109	2602
299	1112	2596
300	1115	2589
301	1117	2582
302	1119	2575
303	1122	2569
304	1125	2564
305	1127	2557
306	1129	2550
307	1131	2542
308	1134	2536
309	1136	2529
310	1140	2525
311	1142	2519
312	1144	2512
313	1147	2506
314	1149	2499
315	1151	2493
316	1154	2488
317	1157	2482
318	1159	2475
319	1161	2469
